/* DATA DESCRIPTION:
	SO268/1_44-2 (BC-14) * LATITUDE: 11.930583 * LONGITUDE: -117.022367 * DATE/TIME: 2019-03-10T20:29:16 * ELEVATION: -4089.1 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/1 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Trial; Position USBL
	SO268/1_52-1 (BC-15) * LATITUDE: 14.113400 * LONGITUDE: -125.871217 * DATE/TIME: 2019-03-14T21:33:31 * ELEVATION: -4506.6 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/1 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: BEL Trial; Position USBL
	SO268/1_53-1 (BC-16) * LATITUDE: 14.111883 * LONGITUDE: -125.874300 * DATE/TIME: 2019-03-15T01:39:00 * ELEVATION: -4484.9 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/1 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: BEL Trial; Position USBL
	SO268/1_60-1 (BC-17) * LATITUDE: 14.108183 * LONGITUDE: -125.864150 * DATE/TIME: 2019-03-16T10:37:04 * ELEVATION: -4512.3 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/1 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: BEL Trial
	SO268/1_61-1 (BC-18) * LATITUDE: 14.114483 * LONGITUDE: -125.872067 * DATE/TIME: 2019-03-16T14:00:00 * ELEVATION: -4499.8 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/1 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: BEL Trial
	SO268/1_72-1 (BC-19) * LATITUDE: 14.110633 * LONGITUDE: -125.867550 * DATE/TIME: 2019-03-19T11:54:09 * ELEVATION: -4508.8 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/1 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: BEL Trial; Position USBL
	SO268/1_76-1 (BC-20) * LATITUDE: 14.036117 * LONGITUDE: -125.924533 * DATE/TIME: 2019-03-20T12:28:35 * ELEVATION: -4540.5 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/1 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: BEL Reference; Position USBL
	SO268/1_82-1 (BC-21) * LATITUDE: 14.033317 * LONGITUDE: -125.929017 * DATE/TIME: 2019-03-22T06:40:41 * ELEVATION: -4538.9 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/1 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: BEL Reference; Position USBL
	SO268/1_83-1 (BC-22) * LATITUDE: 14.028900 * LONGITUDE: -125.925083 * DATE/TIME: 2019-03-22T10:09:27 * ELEVATION: -4543.6 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/1 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: BEL Reference; Position USBL
	SO268/2_95-2 (BC-24) * LATITUDE: 11.862333 * LONGITUDE: -117.012750 * DATE/TIME: 2019-04-04T22:39:57 * ELEVATION: -4120.2 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Dredge; Position USBL
	SO268/2_96-1 (BC-25) * LATITUDE: 11.862267 * LONGITUDE: -117.013950 * DATE/TIME: 2019-04-05T01:41:25 * ELEVATION: -4122.4 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Dredge; Position USBL
	SO268/2_102-1 (BC-26) * LATITUDE: 11.863733 * LONGITUDE: -117.014667 * DATE/TIME: 2019-04-07T08:21:09 * ELEVATION: -4123.2 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Dredge
	SO268/2_103-1 (BC-27) * LATITUDE: 11.865117 * LONGITUDE: -117.012000 * DATE/TIME: 2019-04-07T11:30:51 * ELEVATION: -4116.2 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Dredge
	SO268/2_116-1 (BC-29) * LATITUDE: 11.861850 * LONGITUDE: -117.011183 * DATE/TIME: 2019-04-10T01:15:00 * ELEVATION: -4117.2 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Dredge
	SO268/2_129-1 (BC-30) * LATITUDE: 14.116733 * LONGITUDE: -125.875067 * DATE/TIME: 2019-04-16T18:10:00 * ELEVATION: -4503.0 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: BEL Trial; Position USBL
	SO268/2_140-1 (BC-31) * LATITUDE: 14.031700 * LONGITUDE: -125.916750 * DATE/TIME: 2019-04-19T15:28:34 * ELEVATION: -4521.9 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: BEL Reference; Position USBL
	SO268/2_141-1 (BC-32) * LATITUDE: 14.018833 * LONGITUDE: -125.922433 * DATE/TIME: 2019-04-19T18:57:10 * ELEVATION: -4541.0 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: BEL Reference
	SO268/2_142-1 (BC-33) * LATITUDE: 14.025067 * LONGITUDE: -125.920817 * DATE/TIME: 2019-04-19T22:20:41 * ELEVATION: -4541.3 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: BEL Reference
	SO268/2_148-1 (BC-34) * LATITUDE: 14.019000 * LONGITUDE: -125.915817 * DATE/TIME: 2019-04-21T18:58:27 * ELEVATION: -4529.0 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: BEL Reference; Position USBL
	SO268/2_149-1 (BC-35) * LATITUDE: 14.105217 * LONGITUDE: -125.860800 * DATE/TIME: 2019-04-21T22:47:22 * ELEVATION: -4516.5 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: BEL Trial; Position USBL
	SO268/2_161-1 (BC-36) * LATITUDE: 11.921050 * LONGITUDE: -117.013750 * DATE/TIME: 2019-04-28T07:16:09 * ELEVATION: -4125.3 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Trial; Position USBL
	SO268/2_166-1 (BC-37) * LATITUDE: 11.845250 * LONGITUDE: -117.060167 * DATE/TIME: 2019-04-30T07:19:23 * ELEVATION: -4123.8 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Reference; Position USBL
	SO268/2_175-1 (BC-39) * LATITUDE: 11.842450 * LONGITUDE: -117.051117 * DATE/TIME: 2019-05-09T07:50:33 * ELEVATION: -4129.1 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Reference
	SO268/2_180-1 (BC-40) * LATITUDE: 11.839500 * LONGITUDE: -117.059567 * DATE/TIME: 2019-05-10T19:21:05 * ELEVATION: -4143.2 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Reference; Position USBL
	SO268/2_181-1 (BC-41) * LATITUDE: 11.840917 * LONGITUDE: -117.055350 * DATE/TIME: 2019-05-10T22:15:33 * ELEVATION: -4133.3 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Reference; Position USBL
	SO268/2_182-1 (BC-42) * LATITUDE: 11.849717 * LONGITUDE: -117.055433 * DATE/TIME: 2019-05-11T01:10:50 * ELEVATION: -4119.3 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Reference; Position USBL
	SO268/2_189-1 (BC-43) * LATITUDE: 11.862883 * LONGITUDE: -117.014083 * DATE/TIME: 2019-05-13T02:43:54 * ELEVATION: -4122.1 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Dredge; Position USBL
	SO268/2_190-1 (BC-44) * LATITUDE: 11.863150 * LONGITUDE: -117.012983 * DATE/TIME: 2019-05-13T05:37:08 * ELEVATION: -4124.0 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Dredge; Position USBL
	SO268/2_191-1 (BC-45) * LATITUDE: 11.863067 * LONGITUDE: -117.012467 * DATE/TIME: 2019-05-13T08:36:08 * ELEVATION: -4117.3 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Dredge; Position USBL
	SO268/2_205-2 (BC-49) * LATITUDE: 11.836900 * LONGITUDE: -117.056967 * DATE/TIME: 2019-05-16T03:39:52 * ELEVATION: -4133.9 m * LOCATION: Clarion-Clipperton Fraction Zone, North East Pacific Ocean * CAMPAIGN: SO268/2 * BASIS: Sonne_2 (URI: https://uol.de/icbm/forschungsplattformen-schiffe/sonne) * METHOD/DEVICE: Box corer (BC) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: GER Reference; Position USBL
Parameter(s):	Event label (Event)
	Date/Time of event (Date/Time)
	Latitude of event (Latitude)
	Longitude of event (Longitude)
	Elevation of event [m] (Elevation)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Schoening, Timm (https://orcid.org/0000-0002-0035-3282, tschoening@geomar.de)
	Nodules [#] (Nodules) * PI: Schoening, Timm (https://orcid.org/0000-0002-0035-3282, tschoening@geomar.de)
	Nodules [#] (Nodules) * PI: Schoening, Timm (https://orcid.org/0000-0002-0035-3282, tschoening@geomar.de) * COMMENT: buried
	Nodules, size [cm**2] (Nodules size) * PI: Schoening, Timm (https://orcid.org/0000-0002-0035-3282, tschoening@geomar.de) * COMMENT: median nodule size
	Nodules, mass [kg] (Nodules m) * PI: Schoening, Timm (https://orcid.org/0000-0002-0035-3282, tschoening@geomar.de) * COMMENT: total
	Nodules [%] (Nodules) * PI: Schoening, Timm (https://orcid.org/0000-0002-0035-3282, tschoening@geomar.de) * COMMENT: seafloor coverage by nodules
License:	Creative Commons Attribution-NonCommercial 4.0 International (CC-BY-NC-4.0) (URI: https://creativecommons.org/licenses/by-nc/4.0/)
Size:	180 data points
*/
Event	Date/Time	Latitude	Longitude	Elevation [m]	Depth sed [m]	Nodules [#]	Nodules [#] (buried)	Nodules size [cm**2] (median nodule size)	Nodules m [kg] (total)	Nodules [%] (seafloor coverage by nodules)
SO268/1_12-2	2019-03-02	11.9313	-117.0272	-4051	0	117	16	9.2	3.4	43
SO268/1_15-3	2019-03-04	11.9298	-117.0255	-4090	0	78	0	15.0	3.8	51
SO268/1_24-3	2019-03-06	11.9311	-117.0273	-4088	0	85	14	14.5	4.9	54
SO268/1_27-1	2019-03-06	11.9339	-117.0304	-4085	0	105	27	16.6	6.3	60
SO268/1_28-1	2019-03-06	11.9271	-117.0219	-4093	0	110	40	11.1	5.3	46
SO268/1_33-1	2019-03-08	11.9244	-117.0181	-4096	0	109	40	12.8	5.1	42
SO268/1_44-2	2019-03-10	11.9306	-117.0224	-4089	0	93	29	12.4	3.7	39
SO268/1_52-1	2019-03-14	14.1134	-125.8712	-4507	0	19	0	51.0	5.6	38
SO268/1_53-1	2019-03-15	14.1119	-125.8743	-4485	0	28	4	40.0	6.1	36
SO268/1_60-1	2019-03-16	14.1082	-125.8641	-4512	0	28	4	44.5	6.3	42
SO268/1_61-1	2019-03-16	14.1145	-125.8721	-4500	0	19	0	45.4	5.3	36
SO268/1_72-1	2019-03-19	14.1106	-125.8675	-4509	0	33	5	31.8	4.9	40
SO268/1_76-1	2019-03-20	14.0361	-125.9245	-4540	0	15	1	53.4	4.2	24
SO268/1_82-1	2019-03-22	14.0333	-125.9290	-4539	0	12	3	80.4	4.9	25
SO268/1_83-1	2019-03-22	14.0289	-125.9251	-4544	0	38	3	7.2	3.9	20
SO268/2_95-2	2019-04-04	11.8623	-117.0127	-4120	0	40	4	37.7	6.1	38
SO268/2_96-1	2019-04-05	11.8623	-117.0139	-4122	0	32	0	29.2	4.0	40
SO268/2_102-1	2019-04-07	11.8637	-117.0147	-4123	0	63	0	26.5	5.9	60
SO268/2_103-1	2019-04-07	11.8651	-117.0120	-4116	0	54	0	27.8	4.7	48
SO268/2_116-1	2019-04-10	11.8619	-117.0112	-4117	0	54	15	24.5	4.9	46
SO268/2_129-1	2019-04-16	14.1167	-125.8751	-4503	0	21	1	53.0	5.6	43
SO268/2_140-1	2019-04-19	14.0317	-125.9167	-4522	0	17	0	55.0	3.2	22
SO268/2_141-1	2019-04-19	14.0188	-125.9224	-4541	0	13	1	69.9	3.5	15
SO268/2_142-1	2019-04-19	14.0251	-125.9208	-4541	0	7	0	74.2	3.9	20
SO268/2_148-1	2019-04-21	14.0190	-125.9158	-4529	0	10	2	46.9	2.9	12
SO268/2_149-1	2019-04-21	14.1052	-125.8608	-4516	0	11	8	59.7	4.1	4
SO268/2_161-1	2019-04-28	11.9210	-117.0138	-4125	0	68	2	25.5	6.3	59
SO268/2_166-1	2019-04-30	11.8453	-117.0602	-4124	0	65	6	34.6	3.7	37
SO268/2_175-1	2019-05-09	11.8424	-117.0511	-4129	0	76	4	23.0	5.3	55
SO268/2_180-1	2019-05-10	11.8395	-117.0596	-4143	0	48	1	33.8	5.2	44
SO268/2_181-1	2019-05-10	11.8409	-117.0554	-4133	0	81	7	21.2	6.7	62
SO268/2_182-1	2019-05-11	11.8497	-117.0554	-4119	0	90	24	17.7	4.6	53
SO268/2_189-1	2019-05-13	11.8629	-117.0141	-4122	0	51	0	21.2	5.2	52
SO268/2_190-1	2019-05-13	11.8631	-117.0130	-4124	0	40	0	28.3	5.4	54
SO268/2_191-1	2019-05-13	11.8631	-117.0125	-4117	0	52	0	21.4	4.7	50
SO268/2_205-2	2019-05-16	11.8369	-117.0570	-4134	0	57	1	15.3	4.7	47
